NID    NIC-Addr  Node          Gemini         X  Y  Z
310      812     c0-5c1s4n0    c0-5c1s4g0     0  6  11
311      813     c0-5c1s4n1    c0-5c1s4g0     0  6  11
312      816     c0-5c1s3n0    c0-5c1s3g0     0  6  12
313      817     c0-5c1s3n1    c0-5c1s3g0     0  6  12
314      820     c0-5c1s2n0    c0-5c1s2g0     0  6  13
315      821     c0-5c1s2n1    c0-5c1s2g0     0  6  13
316      824     c0-5c1s1n0    c0-5c1s1g0     0  6  14
317      825     c0-5c1s1n1    c0-5c1s1g0     0  6  14
318      828     c0-5c1s0n0    c0-5c1s0g0     0  6  15
319      829     c0-5c1s0n1    c0-5c1s0g0     0  6  15
320      832     c0-5c0s0n0    c0-5c0s0g0     0  6  16
321      833     c0-5c0s0n1    c0-5c0s0g0     0  6  16
322      836     c0-5c0s1n0    c0-5c0s1g0     0  6  17
323      837     c0-5c0s1n1    c0-5c0s1g0     0  6  17
324      840     c0-5c0s2n0    c0-5c0s2g0     0  6  18
325      841     c0-5c0s2n1    c0-5c0s2g0     0  6  18
326      844     c0-5c0s3n0    c0-5c0s3g0     0  6  19
327      845     c0-5c0s3n1    c0-5c0s3g0     0  6  19
328      848     c0-5c0s4n0    c0-5c0s4g0     0  6  20
329      849     c0-5c0s4n1    c0-5c0s4g0     0  6  20
330      852     c0-5c0s5n0    c0-5c0s5g0     0  6  21
331      853     c0-5c0s5n1    c0-5c0s5g0     0  6  21
332      856     c0-5c0s6n0    c0-5c0s6g0     0  6  22
333      857     c0-5c0s6n1    c0-5c0s6g0     0  6  22
334      860     c0-5c0s7n0    c0-5c0s7g0     0  6  23
335      861     c0-5c0s7n1    c0-5c0s7g0     0  6  23
382      896     c0-5c2s0n2    c0-5c2s0g1     0  7  0 
383      897     c0-5c2s0n3    c0-5c2s0g1     0  7  0 
380      900     c0-5c2s1n2    c0-5c2s1g1     0  7  1 
381      901     c0-5c2s1n3    c0-5c2s1g1     0  7  1 
378      904     c0-5c2s2n2    c0-5c2s2g1     0  7  2 
379      905     c0-5c2s2n3    c0-5c2s2g1     0  7  2 
376      908     c0-5c2s3n2    c0-5c2s3g1     0  7  3 
377      909     c0-5c2s3n3    c0-5c2s3g1     0  7  3 
374      912     c0-5c2s4n2    c0-5c2s4g1     0  7  4 
375      913     c0-5c2s4n3    c0-5c2s4g1     0  7  4 
372      916     c0-5c2s5n2    c0-5c2s5g1     0  7  5 
373      917     c0-5c2s5n3    c0-5c2s5g1     0  7  5 
370      920     c0-5c2s6n2    c0-5c2s6g1     0  7  6 
371      921     c0-5c2s6n3    c0-5c2s6g1     0  7  6 
368      924     c0-5c2s7n2    c0-5c2s7g1     0  7  7 
369      925     c0-5c2s7n3    c0-5c2s7g1     0  7  7 
366      928     c0-5c1s7n2    c0-5c1s7g1     0  7  8 
367      929     c0-5c1s7n3    c0-5c1s7g1     0  7  8 
364      932     c0-5c1s6n2    c0-5c1s6g1     0  7  9 
365      933     c0-5c1s6n3    c0-5c1s6g1     0  7  9 
362      936     c0-5c1s5n2    c0-5c1s5g1     0  7  10
363      937     c0-5c1s5n3    c0-5c1s5g1     0  7  10
360      940     c0-5c1s4n2    c0-5c1s4g1     0  7  11
361      941     c0-5c1s4n3    c0-5c1s4g1     0  7  11
358      944     c0-5c1s3n2    c0-5c1s3g1     0  7  12
359      945     c0-5c1s3n3    c0-5c1s3g1     0  7  12
356      948     c0-5c1s2n2    c0-5c1s2g1     0  7  13
357      949     c0-5c1s2n3    c0-5c1s2g1     0  7  13
354      952     c0-5c1s1n2    c0-5c1s1g1     0  7  14
355      953     c0-5c1s1n3    c0-5c1s1g1     0  7  14
352      956     c0-5c1s0n2    c0-5c1s0g1     0  7  15
353      957     c0-5c1s0n3    c0-5c1s0g1     0  7  15
350      960     c0-5c0s0n2    c0-5c0s0g1     0  7  16
351      961     c0-5c0s0n3    c0-5c0s0g1     0  7  16
348      964     c0-5c0s1n2    c0-5c0s1g1     0  7  17
349      965     c0-5c0s1n3    c0-5c0s1g1     0  7  17
346      968     c0-5c0s2n2    c0-5c0s2g1     0  7  18
347      969     c0-5c0s2n3    c0-5c0s2g1     0  7  18
344      972     c0-5c0s3n2    c0-5c0s3g1     0  7  19
345      973     c0-5c0s3n3    c0-5c0s3g1     0  7  19
342      976     c0-5c0s4n2    c0-5c0s4g1     0  7  20
343      977     c0-5c0s4n3    c0-5c0s4g1     0  7  20
340      980     c0-5c0s5n2    c0-5c0s5g1     0  7  21
341      981     c0-5c0s5n3    c0-5c0s5g1     0  7  21
338      984     c0-5c0s6n2    c0-5c0s6g1     0  7  22
339      985     c0-5c0s6n3    c0-5c0s6g1     0  7  22
336      988     c0-5c0s7n2    c0-5c0s7g1     0  7  23
337      989     c0-5c0s7n3    c0-5c0s7g1     0  7  23
384      1024    c0-3c0s0n0    c0-3c0s0g0     0  8  0 
385      1025    c0-3c0s0n1    c0-3c0s0g0     0  8  0 
386      1028    c0-3c0s1n0    c0-3c0s1g0     0  8  1 
387      1029    c0-3c0s1n1    c0-3c0s1g0     0  8  1 
388      1032    c0-3c0s2n0    c0-3c0s2g0     0  8  2 
389      1033    c0-3c0s2n1    c0-3c0s2g0     0  8  2 
390      1036    c0-3c0s3n0    c0-3c0s3g0     0  8  3 
391      1037    c0-3c0s3n1    c0-3c0s3g0     0  8  3 
392      1040    c0-3c0s4n0    c0-3c0s4g0     0  8  4 
393      1041    c0-3c0s4n1    c0-3c0s4g0     0  8  4 
394      1044    c0-3c0s5n0    c0-3c0s5g0     0  8  5 
395      1045    c0-3c0s5n1    c0-3c0s5g0     0  8  5 
396      1048    c0-3c0s6n0    c0-3c0s6g0     0  8  6 
397      1049    c0-3c0s6n1    c0-3c0s6g0     0  8  6 
398      1052    c0-3c0s7n0    c0-3c0s7g0     0  8  7 
399      1053    c0-3c0s7n1    c0-3c0s7g0     0  8  7 
400      1056    c0-3c1s7n0    c0-3c1s7g0     0  8  8 
401      1057    c0-3c1s7n1    c0-3c1s7g0     0  8  8 
402      1060    c0-3c1s6n0    c0-3c1s6g0     0  8  9 
403      1061    c0-3c1s6n1    c0-3c1s6g0     0  8  9 
404      1064    c0-3c1s5n0    c0-3c1s5g0     0  8  10
405      1065    c0-3c1s5n1    c0-3c1s5g0     0  8  10
406      1068    c0-3c1s4n0    c0-3c1s4g0     0  8  11
407      1069    c0-3c1s4n1    c0-3c1s4g0     0  8  11
408      1072    c0-3c1s3n0    c0-3c1s3g0     0  8  12
409      1073    c0-3c1s3n1    c0-3c1s3g0     0  8  12
410      1076    c0-3c1s2n0    c0-3c1s2g0     0  8  13
411      1077    c0-3c1s2n1    c0-3c1s2g0     0  8  13
412      1080    c0-3c1s1n0    c0-3c1s1g0     0  8  14
413      1081    c0-3c1s1n1    c0-3c1s1g0     0  8  14
414      1084    c0-3c1s0n0    c0-3c1s0g0     0  8  15
415      1085    c0-3c1s0n1    c0-3c1s0g0     0  8  15
416      1088    c0-3c2s0n0    c0-3c2s0g0     0  8  16
417      1089    c0-3c2s0n1    c0-3c2s0g0     0  8  16
418      1092    c0-3c2s1n0    c0-3c2s1g0     0  8  17
419      1093    c0-3c2s1n1    c0-3c2s1g0     0  8  17
420      1096    c0-3c2s2n0    c0-3c2s2g0     0  8  18
421      1097    c0-3c2s2n1    c0-3c2s2g0     0  8  18
422      1100    c0-3c2s3n0    c0-3c2s3g0     0  8  19
423      1101    c0-3c2s3n1    c0-3c2s3g0     0  8  19
424      1104    c0-3c2s4n0    c0-3c2s4g0     0  8  20
425      1105    c0-3c2s4n1    c0-3c2s4g0     0  8  20
